Week,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Season,Result,HomeTeam_value,AwayTeam_value,Divisao,HomeTeam_value_norm1,AwayTeam_value_norm1,HomeTeam_value_norm2,AwayTeam_value_norm2
8.0,10/5/2003,Corinthians,Criciuma,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Vasco,Bahia,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Paysandu,Fluminense,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Atletico-MG,Sao Paulo,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Vitoria,Fortaleza,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Guarani,Internacional,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Athletico-PR,Juventude,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Figueirense,Sao Caetano,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,11/5/2003,Gremio,Coritiba,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,17/5/2003,Fluminense,Figueirense,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,17/5/2003,Sao Caetano,Atletico-MG,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,17/5/2003,Juventude,Santos,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Bahia,Paysandu,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Internacional,Athletico-PR,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Coritiba,Vasco,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Cruzeiro,Corinthians,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Fortaleza,Goias,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Ponte Preta,Gremio,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Criciuma,Vitoria,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Flamengo,Guarani,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
9.0,18/5/2003,Sao Paulo,Parana,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,24/5/2003,Atletico-MG,Fluminense,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,24/5/2003,Parana,Sao Caetano,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,24/5/2003,Corinthians,Juventude,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,24/5/2003,Vasco,Ponte Preta,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Athletico-PR,Flamengo,4,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Paysandu,Coritiba,1,3,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Goias,Criciuma,0,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Gremio,Sao Paulo,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Guarani,Fortaleza,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Figueirense,Bahia,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Vitoria,Cruzeiro,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
10.0,25/5/2003,Santos,Internacional,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,31/5/2003,Fluminense,Athletico-PR,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,31/5/2003,Cruzeiro,Criciuma,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,31/5/2003,Coritiba,Guarani,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,31/5/2003,Ponte Preta,Sao Caetano,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,31/5/2003,Internacional,Paysandu,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Parana,Flamengo,6,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Bahia,Goias,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Fortaleza,Juventude,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Figueirense,Gremio,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Santos,Sao Paulo,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Corinthians,Vitoria,4,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
11.0,1/6/2003,Vasco,Atletico-MG,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,7/6/2003,Vitoria,Fluminense,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,7/6/2003,Guarani,Santos,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,7/6/2003,Gremio,Fortaleza,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,7/6/2003,Atletico-MG,Figueirense,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Paysandu,Parana,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Juventude,Vasco,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Athletico-PR,Ponte Preta,4,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Goias,Coritiba,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Sao Caetano,Corinthians,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Criciuma,Internacional,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,8/6/2003,Sao Paulo,Bahia,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,14/6/2003,Fluminense,Goias,2,3,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,14/6/2003,Ponte Preta,Guarani,0,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,14/6/2003,Coritiba,Athletico-PR,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Corinthians,Sao Paulo,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Fortaleza,Paysandu,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Parana,Juventude,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Gremio,Internacional,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Santos,Sao Caetano,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Criciuma,Figueirense,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Bahia,Vitoria,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Vasco,Flamengo,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
13.0,15/6/2003,Cruzeiro,Atletico-MG,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,19/6/2003,Bahia,Coritiba,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,21/6/2003,Vasco,Criciuma,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,21/6/2003,Atletico-MG,Gremio,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,21/6/2003,Internacional,Parana,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,21/6/2003,Sao Paulo,Goias,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Paysandu,Flamengo,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Ponte Preta,Corinthians,3,3,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Sao Caetano,Vitoria,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Figueirense,Fortaleza,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Juventude,Cruzeiro,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
14.0,22/6/2003,Fluminense,Guarani,5,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,28/6/2003,Fortaleza,Vasco,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,28/6/2003,Coritiba,Sao Caetano,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,28/6/2003,Gremio,Juventude,1,4,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,28/6/2003,Santos,Bahia,4,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,28/6/2003,Flamengo,Figueirense,0,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Corinthians,Fluminense,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Guarani,Sao Paulo,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Criciuma,Paysandu,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Vitoria,Athletico-PR,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Cruzeiro,Internacional,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
15.0,29/6/2003,Parana,Atletico-MG,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,5/7/2003,Vasco,Parana,1,4,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,5/7/2003,Sao Paulo,Sao Caetano,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,5/7/2003,Figueirense,Cruzeiro,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,5/7/2003,Atletico-MG,Paysandu,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Gremio,Flamengo,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Guarani,Goias,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Athletico-PR,Corinthians,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Juventude,Internacional,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Fortaleza,Criciuma,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Vitoria,Ponte Preta,1,4,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Santos,Coritiba,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
16.0,6/7/2003,Fluminense,Bahia,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
17.0,9/7/2003,Sao Caetano,Athletico-PR,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
17.0,9/7/2003,Corinthians,Santos,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
